Store,Dept,IsHoliday,Type,Size,Weekly_Sales,Date
8,1,0,3,158591.96698967656,29250.57759743079,2028-04-16
36,47,0,3,177662.56099923918,126308.19012875644,2028-04-23
38,69,0,3,91220.26971875742,160840.9349484239,2028-04-30
40,20,0,2,105246.50788616977,59806.17119859784,2028-05-07
20,11,0,1,179861.41091266923,44739.76766505626,2028-05-14
35,2,0,1,102582.59978878996,22753.88641037264,2028-05-21
25,67,0,2,173160.31460495616,161043.48606108062,2028-05-28
35,87,0,1,81643.10967698772,188566.4191720316,2028-06-04
25,12,0,1,192408.71063333342,48083.196036816655,2028-06-11
29,20,0,3,88373.83426157455,64599.53583558165,2028-06-18
18,5,0,3,177614.99688397616,37596.456770317716,2028-06-25
18,37,0,2,181281.54668230005,99741.45196995839,2028-07-02
2,38,0,2,115161.40907852125,99816.98541712278,2028-07-09
35,94,1,1,179101.32835423635,216699.6971777687,2028-07-16
16,9,0,3,163022.1131666778,42865.06703418644,2028-07-23
41,98,0,2,123057.90719036308,219793.2117330291,2028-07-30
36,53,0,2,99572.2657961896,126849.23607974444,2028-08-06
33,44,0,2,51868.71541637105,106739.18396684958,2028-08-13
4,99,0,2,167482.50236498468,222520.51910025263,2028-08-20
33,86,0,2,71759.86143189724,191287.50709399834,2028-08-27
14,24,1,2,154767.2099720654,79121.7754928174,2028-09-03
21,81,0,1,136827.58919588756,181673.94354009596,2028-09-10
20,74,1,3,183957.13877190975,178958.76468182914,2028-09-17
8,30,0,3,134897.72502550678,84957.82653933589,2028-09-24
7,59,0,2,133527.61068264543,141033.76996775324,2028-10-01
3,87,1,3,186593.53521441476,209788.10632931482,2028-10-08
17,96,0,3,166752.9014542059,220543.83444260797,2028-10-15
33,81,0,3,165807.79785913893,187589.31933546285,2028-10-22
12,81,0,2,173463.3794904263,191643.5488078791,2028-10-29
22,14,0,2,73221.3938396447,48190.6203139382,2028-11-05
22,9,0,3,187839.4339993491,48942.75317596549,2028-11-12
30,40,0,3,180623.43970068012,107727.74311787954,2028-11-19
38,66,0,2,99165.84357117514,154025.01066796968,2028-11-26
38,25,0,1,137795.97631628995,71568.7358248513,2028-12-03
45,73,0,3,148034.63561861843,174838.12120443943,2028-12-10
8,22,0,1,143275.16077991336,66278.49464975212,2028-12-17
27,4,0,3,166692.99832842674,37079.043916567294,2028-12-24
27,26,0,1,221568.33909155917,75448.24349218974,2028-12-31
34,58,0,1,204088.33638364144,138060.92473526995,2029-01-07
21,29,1,1,84389.04032842969,80884.66703706987,2029-01-14
30,98,0,2,181103.49951530242,222921.43112044726,2029-01-21
33,87,0,1,216446.66597677048,197376.8918972853,2029-01-28
28,37,0,1,169340.42603446014,97597.36523315177,2029-02-04
33,75,0,1,204549.02125929834,176132.6845539373,2029-02-11
5,70,1,3,250000.0,174667.35816185316,2029-02-18
19,18,0,1,201185.47730534908,57385.43245767489,2029-02-25
4,85,0,3,162465.42978208643,196842.52137129364,2029-03-04
35,42,0,1,202254.42370423768,107727.94652159027,2029-03-11
17,41,0,1,157244.39165484457,101813.08555520812,2029-03-18
44,38,0,2,151195.15216424776,102264.16296594667,2029-03-25
28,34,0,3,132429.28821431336,94469.59813375256,2029-04-01
30,17,0,1,228170.6679416054,58487.42749356175,2029-04-08
29,37,0,3,109078.56670289993,95582.10928740795,2029-04-15
6,25,0,3,226618.3862339058,77699.28767884028,2029-04-22
35,76,0,2,174993.20618701857,177311.67880991453,2029-04-29
41,87,0,2,80034.69125990292,189736.54331068546,2029-05-06
37,86,1,2,168382.46464957108,203444.3980517667,2029-05-13
24,85,0,2,50000.0,188183.69231125535,2029-05-20
29,27,1,2,181275.40084155177,90549.95598126705,2029-05-27
31,57,0,2,194261.57414944956,144328.9112087047,2029-06-03
35,31,0,2,120382.20221739732,83656.21197237483,2029-06-10
33,6,0,2,156177.38479777912,35596.19523482632,2029-06-17
21,91,0,1,247707.8716875143,209376.55661237976,2029-06-24
32,40,0,3,124712.66478690316,108641.97845918123,2029-07-01
23,98,0,2,97054.62064716997,213576.67291748646,2029-07-08
33,12,0,2,224083.17012312994,47631.40757544713,2029-07-15
3,53,0,3,248129.35952653975,136162.39836521822,2029-07-22
18,71,0,1,150184.78359239237,163674.71434596734,2029-07-29
25,10,0,3,200573.1517704178,50022.40476953608,2029-08-05
42,45,0,3,217073.79577654405,121993.2326987949,2029-08-12
31,17,0,2,112875.7883730808,53244.39436192342,2029-08-19
3,26,0,3,125734.70823160658,72654.44768564258,2029-08-26
40,85,0,3,211543.72565773674,201293.21467349114,2029-09-02
24,92,1,2,234250.71393542548,215056.14315084083,2029-09-09
32,62,0,2,178144.04300871774,144870.22642165862,2029-09-16
22,46,0,2,106009.28232489729,113590.59160816362,2029-09-23
23,64,1,2,249353.05558497205,163054.00415568595,2029-09-30
2,2,0,3,123451.45510940178,28928.458491227535,2029-10-07
27,54,0,3,133243.1109414274,132746.45877470638,2029-10-14
42,65,0,1,167116.89172448107,151037.12012193224,2029-10-21
2,51,0,1,227708.0210357387,125644.23552698537,2029-10-28
26,53,0,3,192698.7988276112,131938.84571750023,2029-11-04
17,36,0,1,170743.27501809553,92107.80239692391,2029-11-11
40,26,0,3,173164.4265059053,80700.78113532289,2029-11-18
33,29,0,1,152175.7334321733,79252.14375436166,2029-11-25
9,21,1,2,177906.97572592532,72231.4683982299,2029-12-02
43,11,0,1,50000.0,35509.70303629324,2029-12-09
39,40,0,2,135169.62704651008,102395.47502805416,2029-12-16
29,11,0,2,162066.09674583905,41749.17474440624,2029-12-23
42,36,0,2,92449.29581902464,92979.41811872201,2029-12-30
26,59,0,2,169316.165890578,145323.52371015603,2030-01-06
35,39,0,1,139776.43895069393,95040.55768345049,2030-01-13
25,99,0,3,237773.78491577448,227716.83389915322,2030-01-20
24,54,0,2,228650.98626074282,136090.7628704574,2030-01-27
13,98,0,1,126709.72154409185,217841.17134605953,2030-02-03
7,55,0,2,142458.11442166523,132226.45648848295,2030-02-10
36,24,0,1,146302.62171958038,66930.63042744723,2030-02-17
45,22,0,1,127417.02619201886,59433.005024768776,2030-02-24
20,69,0,1,159751.24920140635,159194.43871868652,2030-03-03
1,56,0,3,112085.8965556205,140688.44690806852,2030-03-10
8,33,0,1,93469.23325312368,84228.17858658555,2030-03-17
16,36,0,1,181135.56119501343,94012.22010138325,2030-03-24
14,20,0,3,181476.47921109054,68717.9885820885,2030-03-31
12,83,0,3,109784.21201700039,190467.0265929528,2030-04-07
23,99,0,1,194767.77153812998,219112.35983238622,2030-04-14
15,81,0,3,118421.11354173343,188567.61550844208,2030-04-21
28,62,0,2,162658.26190189907,148584.43614131847,2030-04-28
34,98,0,2,191017.2006306228,221586.08653539844,2030-05-05
2,73,0,3,148319.37176481434,170465.23653368422,2030-05-12
32,26,0,3,172737.04560705673,82243.86814422236,2030-05-19
23,66,0,1,124178.5178056214,152538.3313809473,2030-05-26
22,73,0,3,140176.67082859515,170902.99186669514,2030-06-02
25,73,1,1,139707.02845598297,172989.001130163,2030-06-09
22,40,0,2,112671.08267298806,100638.41245687898,2030-06-16
22,17,1,3,141161.2918442109,63494.05760718847,2030-06-23
42,1,0,1,72569.08505681266,17109.048017880057,2030-06-30
6,89,0,1,125442.31264289477,193729.97852596856,2030-07-07
15,61,0,2,135756.22533151647,145730.89602741224,2030-07-14
43,43,0,3,137191.012375231,108197.26086208485,2030-07-21
37,42,0,2,137925.12770646106,104439.36872279152,2030-07-28
33,25,0,1,146911.79000699354,66194.41348219261,2030-08-04
8,39,0,1,173972.0759043032,99526.46440963338,2030-08-11
44,35,0,3,193725.85370662613,98385.65176478757,2030-08-18
44,3,0,1,117511.73865758664,24222.194506506603,2030-08-25
5,44,0,3,89839.95723054279,109406.84247218599,2030-09-01
39,51,0,2,97897.77938784484,120550.42146251896,2030-09-08
4,94,0,3,125639.85394025364,214210.7324241058,2030-09-15
6,98,0,3,132403.93410917453,220519.09284204175,2030-09-22
45,12,0,1,111500.19669012714,43207.726477578646,2030-09-29
32,19,0,1,85194.16678750527,53489.21096712682,2030-10-06
30,44,0,3,127193.9586262906,113721.82341685669,2030-10-13
35,59,1,1,159071.33100569856,146560.12262491704,2030-10-20
40,49,0,1,179751.47329177824,121159.90526537447,2030-10-27
16,61,0,1,122128.84734458395,140281.61473079625,2030-11-03
13,17,0,3,129350.1088928283,59981.90338535327,2030-11-10
42,74,0,1,103665.08455763446,165701.9238788213,2030-11-17
30,57,0,3,148428.04148126117,140437.16244345251,2030-11-24
19,55,0,1,107578.56829045927,127727.70631022596,2030-12-01
17,47,0,2,178656.39066206,118604.14912133222,2030-12-08
19,12,1,1,60706.675403294445,45459.520476313075,2030-12-15
28,62,0,1,132018.5163773769,141614.20841970496,2030-12-22
26,80,0,3,165055.36695958712,185221.0106939994,2030-12-29
37,88,0,3,159191.72581612522,200182.50118314385,2031-01-05
26,83,0,1,250000.0,188299.45779099257,2031-01-12
23,8,0,2,167490.00122839538,37939.93467697881,2031-01-19
9,95,0,1,99797.27015789949,208308.78852150324,2031-01-26
12,21,0,1,145226.78764554634,60475.764351293554,2031-02-02
1,81,0,2,61187.683326677405,182086.61309479608,2031-02-09
1,87,0,3,145970.01253516195,200367.9281242632,2031-02-16
34,80,0,1,108347.19714996207,174480.35143062202,2031-02-23
32,70,0,3,195769.51377800808,170098.42685734376,2031-03-02
25,72,0,3,122522.98627022325,170747.74660469458,2031-03-09
40,25,0,2,144161.70421023766,71220.35986084217,2031-03-16
45,82,0,2,118222.10792977983,186751.48848227898,2031-03-23
1,89,0,3,236942.56759266654,207134.13190481495,2031-03-30
16,12,0,1,133937.86169410442,43892.23383820189,2031-04-06
39,15,0,3,241627.85217396007,58552.39579478808,2031-04-13
5,59,0,1,190707.58810591334,136949.1665002265,2031-04-20
22,26,1,1,174103.3363667693,77939.53243911253,2031-04-27
29,26,0,2,168436.657365876,76174.37497574413,2031-05-04
3,47,0,1,169689.86491081258,114689.13385831141,2031-05-11
12,32,0,1,53616.3710327195,77312.75743519086,2031-05-18
26,10,0,3,136055.83029246217,45002.99339036083,2031-05-25
16,16,0,2,192257.89855921606,58151.48443312227,2031-06-01
37,71,0,1,147555.14082629472,162287.97098106967,2031-06-08
22,17,0,1,79740.50765982125,51352.027444189494,2031-06-15
29,23,0,2,147379.77747112652,68028.75847264787,2031-06-22
14,26,0,3,235205.27581277455,85103.69962007104,2031-06-29
28,85,0,2,212344.58577673597,194264.88261572723,2031-07-06
5,86,0,2,146899.7995316984,196320.11057075835,2031-07-13
30,7,0,1,197572.46385290433,39242.40537856514,2031-07-20
5,14,0,1,131674.64898159742,48545.54863457766,2031-07-27
12,79,0,3,64806.42065866405,179835.27257880353,2031-08-03
16,7,1,1,103776.70059352228,36132.24093635016,2031-08-10
26,9,0,1,228144.4384254099,44479.397223363005,2031-08-17
